no,direktori,subdirektori,judul,konten,media_tipe,media_url
1,Paket Paskah,Kingstone,Kristus 11: Anak Domba Allah ,"Sebab inilah darah-Ku, darah perjanjian ",other,komik.app/comic?id=ks&volume=9
2,Paket Paskah,Kingstone,Kristus 12: Sang Raja,"Sebab inilah darah-Ku, darah perjanjian ",other,komik.app/comic?id=ks&chapter=62
3,Paket Paskah,Kingstone,The Story,"Sebab inilah darah-Ku, darah perjanjian ",other,komik.app/comic?id=ks&chapter=00
4,Paket Paskah,Siapakah Dia ?,Perjamuan Terakhir,"Sebab inilah darah-Ku, darah perjanjian ",video,https://media.sabda.org/video_alkitab/mesias/14_Perjamuan_Terakhir.mp4 
5,Paket Paskah,Siapakah Dia ?,Getsemani,"Sebab inilah darah-Ku, darah perjanjian ",video,https://media.sabda.org/video_alkitab/mesias/15_Getsemani.mp4 
6,Paket Paskah,Siapakah Dia ?,Penyaliban,"Sebab inilah darah-Ku, darah perjanjian ",video,https://media.sabda.org/video_alkitab/mesias/16_Penyaliban.mp4
7,Paket Paskah,Siapakah Dia ?,Kebangkitan,"Sebab inilah darah-Ku, darah perjanjian ",video,https://media.sabda.org/video_alkitab/mesias/17_Kebangkitan.mp4
8,Paket Paskah,SABDA ME+DIA,Anak Manusia,"Sebab inilah darah-Ku, darah perjanjian ",audio,media.sabda.org/video_alkitab/tbp/en/Learn_Key_Biblical_Themes/Son_of_Man.mp4
9,Paket Paskah,SABDA ME+DIA,Perjanjian,"Sebab inilah darah-Ku, darah perjanjian ",audio,media.sabda.org/video_alkitab/tbp/id/Belajar_Kunci_Tematik_Alkitab/Perjanjian.mp4
10,Paket Paskah,SABDA ME+DIA,Pengorbanan dan Penebusan,"Sebab inilah darah-Ku, darah perjanjian ",audio,media.sabda.org/video_alkitab/tbp/id/Belajar_Kunci_Tematik_Alkitab/Pengorbanan_dan_Penebusan.mp4
11,Paket Paskah,SABDA ME+DIA,Roh Kudus,"Sebab inilah darah-Ku, darah perjanjian ",audio,media.sabda.org/video_alkitab/tbp/id/Belajar_Kunci_Tematik_Alkitab/Roh_Kudus.mp4
